Selected varaibles;Category;Methodology Varaible;Description
Basic Activities of Daily Living;Null;Null;Null
Boston Naming Test A/B;Neuropsychological;Null;Null
Boston Naming Test C/D;Neuropsychological;Null;Null
Clinical Dementia Rating;neuropsychological;Null;The CDR is a 5-point scale used to characterize six domains of cognitive and functional performance applicable to Alzheimer disease and related dementias: Memory, Orientation, Judgment & Problem Solving, Community Affairs, Home & Hobbies, and Personal Care
Disability Assessment of Dementia;Null;Null;Null
Empan verbal - ordre direct (score WAIS IV);Null;Null;Null
Empan verbal - ordre inversé  (score WAIS IV);Null;Null;Null
Fardeau Zarit;Null;Null;Null
Fluence verbale catégorielle (1');Null;Null;Null
Fluence verbale littérale (1');Null;Null;Null
Hospital Anxiety and Depression Scale - Anxiety;Null;Null;Null
Hospital Anxiety and Depression Scale - Depression;Null;Null;Null
Informant Questionnaire on Cognitive Decline in the Elderly;Null;Null;Null
Intermediate Activities of Daily Living;Null;Null;Null
Mini Mental State;Neuropsychological;Null;MMSE is a set of questions for screening cognitive function
Montreal Cognitive Assessment;neuropsychological;Null;Null
Montreal Cognitive Assessment - 5 mots;neuropsychological;Null;Null
Neuropsychiatric Inventory–Questionnaire - Distress;neuropsychological;Null;Null
Neuropsychiatric Inventory–Questionnaire - Severity;neuropsychological;Null;Null
Questionnaire de Plainte Cognitive;neuropsychological;Null;Null
RL / RI - 16 items - rappel différé libre;Null;Null;Null
RL / RI - 16 items - rappel différé total;Null;Null;Null
RL / RI - 16 items - rappel immédiat;Null;Null;Null
RL / RI - 16 items - rappel libre 1;Null;Null;Null
RL / RI - 16 items - rappel libre 2;Null;Null;Null
RL / RI - 16 items - rappel libre 3;Null;Null;Null
RL / RI - 16 items - rappel total 1;Null;Null;Null
RL / RI - 16 items - rappel total 2;Null;Null;Null
RL / RI - 16 items - rappel total 3;Null;Null;Null
Stroop Victoria - Dénom. couleur - durée (sec);Null;Null;Null
Stroop Victoria - Dénom. couleur - erreur;Null;Null;Null
TMT A - durée (sec);Neuropsychological;Null;Null
TMT A - erreur;Neuropsychological;Null;Null
TMT B - durée (sec);Neuropsychological;Null;Null
TMT B - erreur;Neuropsychological;Null;Null
