Selected varaibles;Category;Methodology Varaible;Description
date of birth;Demographic;DD/MM/YYYY;Null
place of birth;Demographic;DD/MM/YYYY;Null
date of death;Demographic;DD/MM/YYYY;Null
gender;Demographic;male/female;Null
Education;Null;according to French education system;Null
Date of visit*;Administration ;DD/MM/YYYY;Null
Primary diagnosis*;diagnostics;local codes than can be translated in OMS or ICD9;Null
Secondary diagnosis*;diagnostics;local codes than can be translated in OMS or ICD9;Null
Tertiary diagnosis*;diagnostics;local codes than can be translated in OMS or ICD9;Null
Severity*;diagnostics;No impairment, dementia, impairment without dementia, other;Null
Comorbidity*;diagnostics;local codes than can be translated in OMS or ICD9;Null
First signs;diagnostics;DD/MM/YYYY;Null
Start;Null;progressive, acute, subacute;Null
First symptoms;diagnostics;memory, walking, speaking, …. Impairment;Null
Evolution;diagnostics;progressive, acute, subacute;Null
Family diagnosis;diagnostics;vascular diseases, dementia, ALS, trisomy, PD, Huntington, psychiatry, memory impairment, other;Null
Neuroleptic*;medications;name of the molecule, to wean, weaned;Null
Alzheimer's disease medication*;medications;molecule and posology;Null
Concomitant medication*;medications;type;Null
MMSE*;neuropsychological;score/30;Null
MATTIS*;neuropsychological;score by sub items and total score (on 144 or less);Null
IADL D*;neuropsychological;score /4;Null
IADL C*;neuropsychological;score/4;Null
Moca*;neuropsychological;score/30;Null
CDR*;neuropsychological;Null;Null
time orientation*;Null;score on 6 (quesiton on the day, the date the moth, the year, the season and the time);Null
spatial orientation *;Null;score on 5 (county, city, hospital, department and floor);Null
empans direct order*;Null;Null;Null
empans indirect order*;Null;Null;Null
RL/RI 16*;Null;RI imm, RL/RT 1 2 and 3, RL diff;Null
VAT*;Null;first try, second try, diff;Null
DPO 80*;Null;score /80;Null
BEERY figure*;Null;score /30;Null
VOSP*;Null;form detection test /20, letter /20, cubes /10;Null
Trail Making Test*;Null;Part A and B time and errors;Null
Stroop*;Null;Part 1, part 2 and part 3 time, corrected erros and non corrected erros;Null
WAIS code*;Null;number of signs and standard score;Null
MT86 (oral comprehension)*;Null;words /5, sentence 1 and 2 /3 and 5 respectively. Total score Link between setance and pictures /388;Null
MT86 (written comprehension)*;Null;words /5, sentence 1 and 2 /3 and 5 respectively. Total score, Question on the read text /6;Null
MT86 (written expression)*;Null;words /15, sentence 1 /5, sentence 2 /9, sentence 3 /11, total score;Null
Calculation (Barcelona test)*;Null;mental calculation (simple socre /9 and bonus /27), written calculation (simple score /6 and bonus);Null
BREF;Null;score /18;Null
Dubois 5 words;Null;Null;Null
Non pharmaceutical treatment*;Null;speech therapy, psychologist, …;Null
