1;3C Study Three-City study ;http://www.three-city-study.com/;9294;Longitudinal – clinical, demographic, cognitive abilities, epidemiological, genetic, imaging, bio-bank.;Longitudinal;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;Yes;Vascular disease and dementia;Christophe Tzourio;christophe.tzourio@u-bordeaux.fr;Restricted access - External investigators wishing to access  3C data must submit a scientific proposal. The 3C Steering Committee reviews the application and authorized the data access.;www.three-city-study.com/scripts/file/3c-ancillary-study-proposal-form-june-2011-6.doc?f=A%2FgyF4o%2FMSJEj15cLISy4YPUS1oVy%2FQRB7i7Z8WVzgAYJrSV6jyfnadfNKAJ55gR6rUGUFVkjWFHGZhZucnc3J3oeb2yDUlsHg7qoERssECozmOoqlE%2FUBUtXQ%2Bi6%2Fxt;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term; University of Bordeaux;Private local storage resources and database;Population-based study;Yes;Yes;Yes;High
2;AMI Cohort - Integrated multidisciplinary approach ;http://www.isped.u-bordeaux2.fr/FR_HTM_equipe_activites_details.aspx?CLE_EQU=3;1000;Longitudinal – clinical, demographic, cognitive abilities, epidemiological, genetic, imaging, bio-bank.;Longitudinal;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;Yes;health ageing;Karine Pérès;Karine.Peres@isped.u-bordeaux2.fr;Restricted access - External investigators wishing to access AMI data must submit a scientific proposal. The AMI Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;University of Bordeaux;Private local storage resources and database;Population-based study;Yes;Yes;Yes;High
3;Betula Project (The);http://www.betula.su.se/en/;1000;Longitudinal – clinical, demographic, cognitive abilities, epidemiological, biological, imaging.;Longitudinal;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;ageing and dementia;Lars Nyberg;lars.nyberg@umu.se;Restricted access - External investigators wishing to access  Betula data must submit a scientific proposal. The Betula Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;Umeå University, Sweden;Private local storage resources and database;Population-based study;Yes;Yes;Unknown;Medium
4;CAM_CAN ;http://www.cam-can.org/;700;Cross-sectional – Clincal, cognitive abilities, imaging.;Cross-sectional;No;No;No;Yes;No;No;Yes;No;No;No;ageing;Lorraine K Tyler;lktyler@csl.psychol.cam.ac.uk;Restricted access - External investigators wishing to access  CAM CAN data must submit a scientific proposal. The CAM CAN Steering Committee reviews the application and authorized the data access.;https://camcan-archive.mrc-cbu.cam.ac.uk/dataaccess/datarequest.php;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;Cambridge Centre for Ageing and Neuroscience;Private local storage resources and database;Healthy;No;Yes;No;Low
5;CFAS Cognitive function and ageing studies: CFAS I & II;http://www.cfas.ac.uk;18000;Longitudinal – clinical, demographic, cognitive abilities, epidemiological, biological, imaging, brain-bank.;Longitudinal;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;ageing;Carol Brayne;cb105@medschl.cam.ac.uk;Restricted access - External investigators wishing to access  CFAS data must submit a scientific proposal. The CFAS Steering Committee reviews the application and authorized the data access.;www.cfas.ac.uk/files/2015/12/DATA-APPLICATION-FORM-v2.1-03_12_2015.doc;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;University of Cambridge;Private local storage resources and database;Population-based study;Yes;Yes;Yes;High
6;ERGO-onderzoek Cohort - Rotterdam study. 3 cohorts;http://www.ergo-onderzoek.nl/wp/;10994;Longitudinal – clinical, demographic,epidemiological, biological, imaging.;Longitudinal;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;cardiovascular, neurological, ophthalmological, endocrinological, and psychiatric diseases in elderly people ;Albert Hofman;ahofman@hsph.harvard.edu;Restricted access - External investigators wishing to access  ERGO data must submit a scientific proposal. The ERGO Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;Erasmus MC, Universitat Medisch Centrum Rotterdam;Private local storage resources and database;Healthy;Yes;Yes;No;Medium
7;MAAS Maastricht Aging Study  ;"http://breinweb.nl/maas/index.html
";1823;Longitudinal – clinical, demographic,epidemiological, biological, genetic, cognitive abilities, imaging.;Longitudinal;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;ageing;Martin van Boxtel;martin.vanboxtel@maastrichtuniversity.nl;Restricted access - External investigators wishing to access  MAAS data must submit a scientific proposal. The MAAS Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;Alzheimer Center Limburg;Private local storage resources and database;Healthy;Yes;Yes;No;High
8;MEMENTO Cohort - DeterMinants and Evolution of Alzheimer's disease and related disorders ;https://epidemiologie-france.aviesan.fr/content/download/92634/3710893/version/1/file/Memento.pdf;2323;Longitudinal – clinical, demographic,epidemiological, biological, cognitive abilities, imaging, bio-bank.;Longitudinal;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;ageing and dementia;Geneviève CHENE, Carole DufYesl;genevieve.chene@isped.u-bordeaux2.fr, rf.mresni@liuofud.elorac;Restricted access - External investigators wishing to access  MEMENTO data must submit a scientific proposal. The MEMENTO Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;University of Bordeaux;Private local storage resources and database;Population-based study;Yes;Yes;Yes;High
9;SHIP Study of Health in Pomerania: two cohorts. (SHIP, SHIP-TREND);ije.oxfordjournals.org/content/40/2/294.long;8000;Longitudinal - clinical, demographic, cognitive abilities, epidemiological, biologic, genetic, imaging, bio-bank.;Longitudinal;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;health-related condition ;Carsten-Oliver Schimdt, Henry Völzke;carsten.schmidt@uni-greifswald.de, voelzke@uni-greifswald.de.;Restricted access - External investigators wishing to access  SHIP data must submit a scientific proposal. The SHIP Steering Committee reviews the application and authorized the data access.;https://www.fvcm.med.uni-greifswald.de/cm_antrag/index.php?s=user_registration;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;University Medicine of Greifswald;Private local storage resources and database;Population-based study;Yes;Yes;Yes;High
10;Rhineland study (the);http://www.rheinland-studie.de/;30000;demographic, cognitive abilities, epidemiological, genetic, imaging;NoE;No;Yes;No;Yes;Yes;Yes;Yes;No;No;No;ageing;Monique M.B. Breteler;monique.breteler@dzne.de;Restricted access - External investigators wishing to access  Rhineland data must submit a scientific proposal. The Rhineland Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;German Center for Neurodegenerative Diseases (DZNE), Bonn;Private local storage resources and database;Population-based study;Yes;Yes;Unknown;Medium
11;Italian ADNI;https://neugrid4you.eu/;262;cross- sectional - clinical, demographic, cognitive abilities, epidemiological, imaging.;Cross-sectional;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;NDD;Giovanni B. Frisoni;giovanni.frisoni@hcuge.ch ;Open access - downloading and analyzing I-ADNI data from neuGRID is free – as soon as users sign the Data Use Agreement (DUA).;https://neugrid4you.eu/documents/17278/262688/I-ADNI_v1.0.pdf/f3383f60-dd8b-429d-b5ae-8e5100378042;YES;Data mirrirong directly within MIP;short term;IRCCS Fatebenefratelli, Brescia (FBF)/ Hôpitaux universitaires de Genève, Genève(HUG);NeuGRID Storage Element (Glite middleware);Population-based study;No;No;No;Medium
12;OASIS;https://neugrid4you.eu/;565;Longitudinal - clinical, demographic, cognitive abilities, epidemiological, imaging.;Longitudinal;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;NDD;Randy Buckner;dmarcus@wustl.edu;Open access - downloading and analyzing OASIS data from neuGRID is free – as soon as users sign the Data Use Agreement (DUA).;https://neugrid4you.eu/documents/17278/262688/OASIS_v2.0_d_t.pdf/bb928e12-5897-4d8e-953c-43ce104d62f5;YES;Data mirrirong directly within MIP;short term;IRCCS Fatebenefratelli, Brescia (FBF)/ Hôpitaux universitaires de Genève, Genève(HUG);NeuGRID Storage Element (Glite middleware);Population-based study;No;No;No;Medium
13;COBRE;https://neugrid4you.eu/;146;cross- sectional - clinical, demographic, cognitive abilities, epidemiological, imaging.;Cross-sectional;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;PSY;Andrew Mayer, Julia Stephen, Faith Hanlon, Rex Jung.;amayer@mrn.org,  j.stephen@mrn.org, fhanlon@themindinstitute.org, rjung@mrn.org.;Open access - downloading and analyzing COBRE data from neuGRID is free – as soon as users sign the Data Use Agreement (DUA).;https://neugrid4you.eu/documents/17278/262688/COBRE_v1.0_t.pdf/c555c613-89c3-4d29-8218-18b4cf7548d9;YES;Data mirrirong directly within MIP;short term;IRCCS Fatebenefratelli, Brescia (FBF)/ Hôpitaux universitaires de Genève, Genève(HUG);NeuGRID Storage Element (Glite middleware);Schizophrenia;No;No;No;Medium
14;NUSDAST;https://neugrid4you.eu/;450;Longitudinal - clinical, demographic, cognitive abilities, epidemiological, imaging.;Longitudinal;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;PSY;Lei Wang;leiwang1@northwestern.edu;Open access - downloading and analyzing NUSDAST data from neuGRID is free – as soon as users sign the Data Use Agreement (DUA).;https://neugrid4you.eu/documents/17278/262688/NUSDAST_v1.0_t.pdf/e13013a7-7c33-492b-a918-98d14391e2dc;YES;Data remote access (i.e.: bridging MIP to local resources);short term;IRCCS Fatebenefratelli, Brescia (FBF)/ Hôpitaux universitaires de Genève, Genève(HUG);NeuGRID Storage Element (Glite middleware);Schizophrenia;No;No;No;Medium
15;ARWIBO;https://neugrid4you.eu/;2619;cross- sectional - clinical, demographic, cognitive abilities, epidemiological, imaging.;Cross-sectional;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;NDD;Giovanni B. Frisoni;giovanni.frisoni@hcuge.ch ;Open access - downloading and analyzing ARWIBO data from neuGRID is free – as soon as users sign the Data Use Agreement (DUA).;https://neugrid4you.eu/documents/17278/262688/ARWIBO_v1.0.pdf/72744a76-31fa-440f-aa7e-4a45dd64a653;YES;Data remote access (i.e.: bridging MIP to local resources);short term;IRCCS Fatebenefratelli, Brescia (FBF)/ Hôpitaux universitaires de Genève, Genève(HUG);NeuGRID Storage Element (Glite middleware);Population-based study;Yes;No;No;Medium
16;European ADNI/PharmaCog;https://neugrid4you.eu/;147;Longitudinal - clinical, demographic, cognitive abilities, epidemiological, biologic, genetic, imaging, bio-bank.;Longitudinal;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;NDD;Giovanni B. Frisoni;giovanni.frisoni@hcuge.ch ;Restricted access - External investigators wishing to access  E-ADNI data must submit a scientific proposal. The E-ADNI Steering Committee reviews the application and authorized the data access.;https://neugrid4you.eu/documents/17278/262688/PharmaCOG_MCI_v2.1.pdf/3e9d9b13-40b9-432d-90ba-7a2a18b2a6ed;YES;Data remote access (i.e.: bridging MIP to local resources);short term;IRCCS Fatebenefratelli, Brescia (FBF)/ Hôpitaux universitaires de Genève, Genève(HUG);NeuGRID Storage Element (Glite middleware);MCI;No;No;Yes;High
17;ABIDE;https://neugrid4you.eu/;1113;cross- sectional - clinical, demographic, cognitive abilities, epidemiological, imaging.;Cross-sectional;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;PSY;Adriana Di Martino;dimara01@nyumc.org;Open access - downloading and analyzing ABIDE data from neuGRID is free – as soon as users sign the Data Use Agreement (DUA).;https://neugrid4you.eu/documents/17278/262688/ABIDE_v1.0_t.pdf/c3638c48-dd08-499a-9fcc-6cd59b1544bb;YES;Data mirrirong directly within MIP;short term;IRCCS Fatebenefratelli, Brescia (FBF)/ Hôpitaux universitaires de Genève, Genève(HUG);NeuGRID Storage Element (Glite middleware);Autism;No;No;No;Medium
18;INDI;https://neugrid4you.eu/;1000;cross- sectional - clinical, demographic, cognitive abilities, epidemiological, imaging.;Cross-sectional;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;PSY;Michael Milham ;michael.milham@childmind.org;Open access - downloading and analyzing INDI data from neuGRID is free – as soon as users sign the Data Use Agreement (DUA).;https://neugrid4you.eu/documents/17278/262688/INDI-DWI_v1.0_t.pdf/b98ded5c-12c5-4a73-80fd-b22a914c3e99;YES;Data mirrirong directly within MIP;short term;IRCCS Fatebenefratelli, Brescia (FBF)/ Hôpitaux universitaires de Genève, Genève(HUG);NeuGRID Storage Element (Glite middleware);Psychiatric;No;No;No;Medium
19;MIRIAD;https://neugrid4you.eu/;69;Longitudinal - clinical, demographic, cognitive abilities, epidemiological, imaging.;Longitudinal;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;NDD;Nick Fox;nfox@dementia.ion.ucl.ac.uk;Restricted access - External investigators wishing to access  MIRIAD data must submit a scientific proposal. The MIRIAD Steering Committee reviews the application and authorized the data access.;https://neugrid4you.eu/documents/17278/262688/MIRIAD_v2.0_d_t.pdf/9b36f2c2-3359-4d4f-a16a-bba73cb8fcc0;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;IRCCS Fatebenefratelli, Brescia (FBF)/ Hôpitaux universitaires de Genève, Genève(HUG);NeuGRID Storage Element (Glite middleware);Alzheimer;No;No;No;Medium
20;DESCRIPA;http://www.descripa.eu/;881;Longitudinal - clinical, demographic, cognitive abilities, imaging.;Longitudinal;Yes;Yes;No;Yes;No;No;Yes;No;No;No;NDD;Dr P.J. Visser;PJ.Visser@vumc.nl;Restricted access - External investigators wishing to access  DESCRIPA data must submit a scientific proposal. The DESCRIPA Steering Committee reviews the application and authorized the data access.;Form not available on website;To be defined directly with the PI;Data remote access (i.e.: bridging MIP to local resources);medium/long term;Maastricht University;Private local storage resources and database;Alzheimer;No;No;No;Medium
